selection_rank,index,inchikey,smiles,NR3C1,ADRB2,ADRB1,ADORA2A,AR,PTGS2,ACHE,DRD2,LCK
103,20080,MIBWXUPDCBKVJK-UHFFFAOYNA-N,S(C=1C(=O)C=C(C(=O)C1)C)C2=CC=C(C=C2)C,-7.5,-7.7,-7.3,-8.4,-7.9,-9.2,-9.4,-8.1,-6.8
104,68040,FVUMKUISMZMAIP-OHUCBPIDNA-N,N1(C(NC(NC2=CC=CC=C2)=O)=CC(C(C)(C)C)=N1)C3=CC=CC(=C3)CNC(CNC(OC)=O)=O,-6.3,-9.7,-10.3,-10.2,-6.3,-8.4,-9.1,-9.9,-8.7
105,17243,VYPDSHIQKOKLHK-UHFFFAOYNA-N,ClC=1C=CC(C(=O)N2CCC(CC2)C(=O)C=3C=CC(F)=CC3)=CC1,-9.4,-9.8,-9.5,-9.2,-6.9,-8.2,-8.5,-9.8,-8.8
106,190064,XDBKDRRIZBSEDB-ZHLVXTBQNA-N,S(CC1OC(N2C=3C(N=C2)=C(N=CC3)N)C(O)C1O)CC(C)C,-7.9,-8.6,-7.4,-7.4,-6.9,-7.3,-9.5,-7.7,-6.8
107,149271,VRUVHKRRHGWNLU-PKSOQXRJNA-N,S(=O)(=O)(N1CCCC1)C=2C=CC(=CC2)C(=O)NC=3OC(=NN3)C4=C(S(=O)(=O)C)C=CC=C4,-9.0,-11.7,-10.8,-10.0,-6.0,-8.6,-10.0,-11.6,-9.0
108,213181,YVJYPBAARNRBJN-GPQMBLKYNA-N,S(=O)(=O)(NCC)C1=CC=C(CCC(=O)NC2CCCC2)C=C1,-8.2,-8.7,-8.3,-8.0,-7.6,-9.0,-8.2,-8.4,-6.6
109,65575,VIELMLHCIMBZBG-NPPCCKFPNA-N,S(C=1C=CC(C(N[C@H](C(O)=O)CO)=O)=CC1)(=O)(=O)N,-7.5,-7.8,-8.0,-7.3,-6.9,-8.2,-8.5,-7.5,-6.6
110,145420,QPKRPINCRBFHOG-UHFFFAOYNA-N,ClCC(O)CSC=1N(CC2=CC=C(Cl)C=C2)C(=NC1N(=O)=O)C,-7.9,-8.7,-8.5,-7.1,-7.0,-7.9,-9.8,-7.2,-6.5
111,175917,MHIMWSYQTVYPPU-UHFFFAOYNA-N,S1(=O)(=O)N(C=C(C=2C1=CC=CC2)CC(OCC)=O)CC3=CC=C(OC)C=C3,-8.3,-8.8,-9.3,-8.7,-6.9,-7.4,-9.5,-7.8,-7.4
112,178732,CUZAOCPOPQUFAY-UHFFFAOYNA-N,O1C=2C(C(CC(=O)N(CC)CC)C3=CC=4OCOC4C=C3)=C(OC)C=C(OC)C2C=CC1=O,-8.5,-8.3,-8.7,-9.7,-5.2,-7.1,-9.4,-8.6,-7.9
113,120414,QYHDQPGGIJBLPX-LELJVTLKNA-N,FC=1C(CCNC(=O)CC2=C(C=3C=4OC(=C(C4C(=CC3OC2=O)C)C)C)C)=CC=CC1,-9.3,-10.7,-10.4,-10.6,-7.7,-8.1,-12.0,-12.0,-9.1
114,22563,HDQXHQMYIGHZCZ-HXTKINSTNA-N,ClC1=CC2=C(N(CC(=O)NC=3C=C(Cl)C(F)=CC3)C(=O)N=C2C=4C=CC=CC4)C=C1,-9.9,-9.9,-10.4,-10.9,-7.3,-8.3,-12.5,-11.1,-8.5
115,51551,XJFMATJFYVPYBR-UHFFFAOYNA-N,C1C2=C(N(CC1)CC(O)(C(F)(F)F)CC(C3=C(C=CC(=C3)F)OC)(C)C)C=CC=C2,-9.9,-10.3,-10.0,-9.2,-6.8,-7.2,-8.8,-8.3,-7.8
116,122197,YXWCWBLTFSZFRN-GEBOGTHANA-N,ClC=1C=C2C3=C(NC2=CC1)[C@]4(N(CC3)C(=O)[C@H](C[C@@H]4C(=O)N5CCN(CC5)C(=O)C=6OC=CC6)CC(=O)NCC=7OC=CC7)CC,-6.4,-10.6,-10.3,-10.4,-7.1,-8.1,-10.7,-10.0,-10.3
117,227239,XIHJEHHSUCQSNW-UHFFFAOYNA-N,BrC=1C=C(C(OC2CCCN(C2)C)=O)C=CC1,-7.3,-7.3,-7.4,-7.6,-7.3,-8.2,-8.5,-7.1,-6.8
118,133877,HVFSQSLQHUCYDO-KXAZPYTMNA-N,C=1(F)C=CC([C@@H](C)NC(C2=CC(=CC(N(C)S(C)(=O)=O)=C2)C(NCC(CO)(CC3=CC=CC=C3)N)=O)=O)=CC1,-7.8,-11.7,-10.3,-9.1,-6.1,-7.9,-10.8,-10.4,-8.6
119,181673,WCZJKPYVAFLRFU-TZTVINIZNA-N,S(CC[C@H](NC(=O)C1=CN(C=2C(C1=O)=CC=3OCOC3C2)CC)C(=O)NCCCO)C,-8.2,-7.5,-8.2,-8.1,-5.8,-7.3,-8.6,-7.7,-7.3
120,129063,ORNHPUUAFWYNHA-UHFFFAOYNA-N,ClC=1C=C(C=2N(N=NN2)CC=C)C=CC1,-6.6,-7.8,-7.8,-7.1,-7.0,-7.7,-8.3,-7.7,-6.3
121,115436,ZMHOOWJNWLOVTH-GPQMBLKYNA-N,S(O)(O)(=CC=1N=C(OC1C)C2=CC(OC)=CC=C2)=CC(=O)NCCC,-8.3,-8.0,-8.4,-8.4,-5.9,-6.8,-8.4,-8.1,-6.8
122,109061,LXJWXTCBXDALRB-PKSOQXRJNA-N,C(NC=1C=CC(=CC1)Cl)(C2=C(NCC=3C=CN=CC3)C=CS2)=O,-8.4,-8.6,-8.7,-8.5,-6.7,-9.5,-10.2,-8.6,-7.6
123,90619,NDUBFDHNGRZGIL-UHFFFAOYNA-N,ClC=1C=2N(N=C(C2C=CC1)C=3C=CC(O)=CC3)C4CCCC4,-8.9,-9.2,-9.5,-10.3,-6.8,-11.2,-11.3,-8.8,-8.5
124,133436,QYCLMJIJFVEMJS-PDXLCMQRNA-N,N([C@H](C(N[C@@H](CC1=CC=CC=C1)[C@@H](CNCC2=CC(=CC=C2)OC)O)=O)C=S(=C)(O)O)C(OCC=3N=C(C)OC3C)=O,-8.9,-9.5,-9.8,-8.4,-6.2,-6.9,-10.1,-8.5,-8.3
125,119299,PEXXYLROEGIUAC-VQHVLOKHNA-N,O=C(N1CCCCCC1)COC(=O)/C=C/C2=CC(OC)=C(OCC#N)C=C2,-8.4,-9.0,-9.1,-8.8,-7.2,-7.5,-9.1,-8.3,-7.3
126,120030,SWVRAZZDIBWDKV-UHFFFAOYNA-N,O(CCN1C(=C(C=C1C)C(=O)COC2=NC=3C(N=C2C)=CC=CC3)C)C,-9.0,-9.2,-8.7,-8.9,-8.2,-8.1,-9.2,-8.7,-7.6
127,59044,UWMQPYVHFSVPRM-UHFFFAOYNA-N,C1(=CC(=C2C(=C1)C(=O)C(O)=C(C3=CC=C(C(=C3)O)O)O2)N)C,-9.3,-8.7,-9.8,-9.4,-8.2,-8.7,-10.6,-9.9,-8.8
128,186705,HBYYVPXZGCPKQM-PKSOQXRJNA-N,O=C(NC=1C=C(OC)C(OC)=C(OC)C1)CN2C(CC=3C2=CC=CC3)C,-8.0,-8.7,-8.3,-8.1,-5.6,-6.8,-8.8,-7.7,-7.5
129,50854,WSKJPVJRMSBMPJ-LILDFLRNNA-N,C1(=CC(CC(=O)O)=C(NC=2C(=CC=CC2C)Cl)C=C1)C,-8.0,-7.8,-8.4,-8.0,-7.2,-8.7,-9.7,-7.6,-7.7
130,139897,YSCYTGDRZFGBQA-HCKMINDGNA-N,S(CC=1C=C(C=CC1)C)C=2N=C(C=C(O)N2)C(OC)=O,-8.0,-8.8,-8.5,-8.0,-7.3,-8.4,-9.5,-8.2,-7.5
131,206254,YKNFBGRYAKVNNI-UHFFFAOYNA-N,O(C(CN(CCN(CC(OCCO)C)CC(OCCO)C)CC(OCCO)C)C)CCO,-5.8,-6.3,-6.0,-5.6,-4.8,-5.9,-6.4,-5.7,-5.2
132,161982,MVHWQCWCECVWRT-DVIAZDKANA-N,O(C1=C(OC)C=C(C=C1OC)C(=O)NCC(OCC(=O)NC=2OC(=NN2)C=3C=CC=CC3)=O)C,-9.3,-9.9,-10.3,-8.2,-7.6,-8.9,-10.2,-10.0,-8.0
133,249901,OGKHZDFYDUFQJT-LILDFLRNNA-N,ClC=1C(C(=O)NC=2SC(=NN2)CCN3CCCCC3)=CC=C(Cl)C1,-9.2,-9.3,-9.6,-8.4,-6.6,-8.1,-9.1,-9.8,-8.1
134,5569,GXWQNGHTCSQRDN-GPQMBLKYNA-N,S1C2=C(C=CC=C2)C(=O)NC1=NC(=O)CC3=CC=CC=C3,-9.1,-9.6,-9.5,-8.7,-7.8,-9.8,-10.7,-9.9,-8.0
135,96410,PBXOPHCPYZXNQT-USCGFLKONA-N,S(N[C@@H](C(NC[C@@H]1CN(C(=N)N)CCC1)=O)CC2=CNC=3C2=CC=CC3)(C4=CC=5C(C=C4)=CC=CC5)(=O)=O,-9.1,-12.0,-11.8,-11.9,-6.0,-7.8,-10.5,-11.0,-9.6
136,257667,GPQLYNCGPNLCSU-QMLCPYSLNA-N,O=C(N1C(=NN=C1)N)C2=CC(=CC=C2)C,-7.2,-8.7,-8.8,-8.5,-7.6,-8.6,-9.3,-8.6,-6.9
137,55939,YLBAJFNJBXXSBQ-GYPXUTEYNA-N,ClC1=C(N2CC(N(C[C@H](N)[C@@H](O)C[C@H](C(=O)NC3C4CC5(O)CC3CC(C4)C5)C(C)C)CC2=O)(C)C)C=C(F)C=C1,-9.1,-9.9,-9.8,-9.0,-7.1,-9.0,-9.6,-9.4,-8.5
138,193281,ZRCOOOGILXCCCK-UHFFFAOYNA-N,N1(CCN(CC1)C2=NC(=CN=C2)C=3C=C(N)C=CC3)CCN(CC)CC,-9.0,-8.6,-8.5,-7.9,-5.8,-7.3,-8.6,-8.1,-7.7
139,87138,DFRPRNRPOSSJQZ-MPIMZMORNA-N,ClC1=C(NC=2C=C3NN=C(C3=CC2)C4=CC=CC=C4)C=CC=C1,-9.9,-10.7,-11.1,-10.0,-6.7,-8.6,-9.4,-10.6,-9.3
140,127723,UHWZOIHSRIYUPN-UHFFFAOYNA-N,ClC=1C=C2C(=O)N3C(=NC2=CC1)C(C(=O)N4CCOCC4)=CC=C3,-9.2,-9.2,-9.5,-9.6,-8.4,-10.1,-10.3,-9.0,-8.5
141,198751,VRVCNAMTYCKJGC-UYBDAZJANA-N,ClC=1C=C(C(=O)NN2C(=NC3=C(C2=O)C=CC=C3)C)C=CC1Cl,-9.8,-9.8,-9.9,-9.0,-7.9,-9.2,-9.3,-9.8,-8.5
142,32235,FANDJZBJYJYKGY-NBSHMHGSNA-N,N1(C2=CC=C(C=C2)F)CCN(CC1)CC[C@@H]3CC[C@@H](NC=4N=CC=CN4)CC3,-9.9,-9.9,-9.5,-9.7,-6.7,-8.2,-9.9,-9.9,-8.1
143,99263,OETSERFTYLQOCP-MPIMZMORNA-N,N1(C2=C3OC=CC3=CC=C2)CCN(CC1)CCNC(C=4C=CC(=CC4)F)=O,-9.6,-9.7,-10.2,-9.1,-8.9,-9.0,-10.3,-10.2,-8.1
144,247242,MGDBMPBVOSVGRF-PKSOQXRJNA-N,O(C(=O)C=1N=C(N=C2C1C=CC=C2)C(=O)NCC3=CC=C(C=C3)C)CC,-9.4,-9.7,-9.8,-9.3,-7.2,-8.3,-10.5,-9.8,-8.3
145,4901,NIQHCAONTODQKW-LQFNOIFHNA-N,S(CC1=NC(=O)NC(C1C(OC)=O)C=2C(=CC=C(C2)C)C)CC3=CC=CC=C3,-9.1,-9.4,-8.9,-8.2,-6.1,-6.9,-9.1,-7.8,-7.6
146,114917,XMNHKITWVHRBLY-QWOVJGMINA-N,FC1=CC(NC(=O)CCC=2N3N=C(N4CCC(CC4)C)C=CC3=NN2)=CC=C1,-10.4,-10.5,-10.6,-9.5,-6.9,-8.6,-11.8,-10.2,-8.4
147,25163,XEMPWVKZHNFSQI-ZYMSVLFVNA-N,S(=O)(C1=CC=C(OC(C(=O)O)C)C(C)=C1C)(N(CCCC)C=2C(=C(C=CC2)C3=CC=C(C=C3)C(F)(F)F)C)=O,-8.1,-9.8,-10.0,-10.3,-5.4,-7.4,-7.7,-9.8,-8.4
148,117362,WUSJROLXNFAHLS-UHFFFAOYNA-N,BrC1=CC(S(=O)(=O)NCCN2CCOCC2)=C(OC)C=C1,-7.2,-7.0,-7.0,-6.8,-7.1,-6.7,-8.0,-6.9,-6.1
149,210858,HBERTCHGBHHVDT-LILDFLRNNA-N,S1C(=NN=C1NC(=O)C2=CC=3OCOC3C=C2)C(C4=CC=CC=C4)C,-10.1,-10.6,-10.5,-9.7,-7.7,-8.4,-10.0,-10.6,-9.1
150,163255,MKZWIGWOTWLTAQ-XWKXFZRBNA-N,S1C(=CC=C1C)C(=O)NC=2SC(=CN2)C,-6.8,-6.9,-6.8,-6.4,-6.8,-7.4,-7.5,-7.3,-6.3
151,6977,FFDKGYCYKGVPIT-RPUNKBRPNA-N,P(=O)(N[C@@H]([C@@H]1[C@H](C1)C(OC)=O)C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,-9.1,-9.0,-9.1,-9.8,-5.9,-8.9,-11.0,-8.4,-7.3
152,56098,YJTDUWMEPUMNAK-CGFZHGFINA-N,ClC=1C=C(C(NC(=O)C2=CC=C(S(O)(=NC(=O)CN(C)C)=C)C=C2)=CC1)C(=O)NC=3N=CC(Cl)=CC3,-6.1,-10.2,-11.1,-9.3,-6.4,-8.5,-11.1,-10.0,-8.6
153,115998,IJTSHNSHVVORRG-ZNZIZOMTNA-N,S1C(CN2[C@H](C[C@H](N3N=NC(=C3)COC(=O)C=4C=CC=CC4)[C@@H](O)C2)C5=CC=C(C=C5)C)=CC=C1,-9.1,-10.3,-9.6,-9.4,-6.5,-8.1,-10.4,-9.2,-8.4
154,178846,DCCNIOKRCSFGQE-GPQMBLKYNA-N,O1C2=C(OCC1)C=CC(NC(=O)C=3OC=4C(C3)=CC=CC4)=C2,-9.5,-10.2,-9.9,-9.1,-6.4,-7.7,-9.7,-10.1,-8.6
155,133762,UMBILIGVYYXBRD-UYBDAZJANA-N,S(NC(=O)C)(C1=CC=C(C=2C(=NOC2C)C3=CC=CC=C3)C=C1)(=O)=O,-9.5,-9.5,-10.3,-10.7,-6.2,-10.1,-10.1,-8.9,-8.5
156,1863,WALKKMRODCYMIX-UHFFFAOYNA-N,ClC=1C=2N(C(SCC=3OC(=CC3)C(OC)=O)=NN2)C=C(Cl)C1,-8.1,-8.2,-8.0,-7.4,-7.6,-9.0,-8.9,-8.1,-7.1
157,152089,MTIBAFPNURLRGR-SPEPDGBUNA-N,S1C(=C(N2N=C(N=C12)C=3C=CC(OC)=CC3)C)CCNC(=O)C(=O)NC=4C(F)=CC=C(F)C4,-9.9,-10.5,-10.8,-9.4,-8.4,-9.1,-10.3,-11.1,-8.7
158,66009,VJUHWZYINXKQFS-MYJWUSKBNA-N,N=1C=NC(=C2[C@@H](SCC21)C)N3CCN(C(=O)C(CC4=CC=C(C(=C4)F)Cl)CC(C)(C)N)CC3,-8.4,-9.1,-9.7,-8.9,-6.4,-7.8,-8.4,-9.5,-7.7
159,241506,DLYGSNKXPRYVCA-WOIUINJBNA-N,O1[C@@H]([C@@H](CN([C@@H](CO)C)C(=O)CCCN2N=NC=C2C1)C)CN(C)C(OCC3=CC=CC=C3)=O,-8.7,-9.4,-9.5,-8.8,-5.9,-7.7,-7.9,-8.5,-8.2
160,91814,NRAWDOUOQWSMJF-UHFFFAOYNA-N,ClC1=CC=C(C=2NC(=C3C2CCCC3)C4=CC=C(Cl)C=C4)C=C1,-8.6,-9.6,-10.0,-11.1,-6.4,-9.3,-11.4,-9.8,-8.8
161,255081,AXGDJKAKUMYICP-LOIZKNKNNA-N,O=C1N=C(N=C(C1)C)NN/C(=N/N=C2C=CC(=O)C=C2)/C3=CC=CC=C3,-8.6,-10.3,-10.6,-10.3,-6.7,-12.0,-11.6,-9.2,-8.9
162,194725,GRBQBQLZAXYJIA-SPEPDGBUNA-N,BrC=1C2=C(C(C(=O)NC(=S)NC=3C=CC(N4CCN(CC4)C)=CC3)=CC=C2)C=CC1,-8.6,-10.9,-10.6,-10.2,-7.0,-8.2,-11.8,-10.3,-8.7
163,258452,DDQVCAYLBQKYGP-MPIMZMORNA-N,ClC=1C(=CC(S(=O)(=O)N(CC)C2=CC=CC=C2)=CC1)C(OCC(=O)NC(=O)C(C)C)=O,-9.4,-9.2,-9.6,-9.1,-6.4,-8.3,-10.4,-9.2,-7.6
164,111272,KWPKVWUWXHGMDP-ZKLOLBIFNA-N,C=1(C(=NN2C1C=CC=C2)C=3C=CC=CC3)C4=NN([C@H]5[C@H](CC(O)=O)CCCC5)C(C=C4)=O,-7.6,-9.2,-10.3,-11.9,-6.4,-7.6,-10.0,-9.8,-9.4
165,17587,VNSLAOCAAXFIHQ-BFTGEDQONA-N,OC1=C2[C@H]3[C@H](CCC2=C(NOCC4=CC=CC=C4)C=C1O)C(O)N(C3O)[C@@H](C)C5=CC=CC=C5,-9.9,-9.4,-11.0,-10.5,-6.7,-8.8,-9.7,-10.6,-8.9
166,150194,UCIHEFNZEMOEGR-CIAFOILYNA-N,O=C1N(/N=C/C2=C(OC)C=CC=C2)C(=O)C3=C4C1=CC=CC4=CC=C3,-9.4,-10.6,-10.4,-10.2,-7.4,-7.8,-10.0,-10.5,-9.2
167,42943,QCONXDTVGZBBCZ-MPIMZMORNA-N,C1(=C(C)N(C(=C1C(O)=O)C)CC2=CC=CC=C2)C3=CC=C(C=C3)N(=O)=O,-8.7,-9.0,-8.5,-9.7,-6.2,-9.9,-10.5,-9.3,-8.2
168,241265,DCGVCFDUNWGKEI-LILDFLRNNA-N,O=C(NC=1C=C2C3=C(C=4C2=CC=CC4)C=CC=C3C1)C,-10.0,-9.7,-10.4,-11.1,-8.4,-10.8,-13.2,-9.1,-8.9
169,66376,VBGVWKFAVGGQCH-RWULADMHNA-N,C1=C(C=C(C=C1)S(N[C@H](C(N2CCC(CC2)CCNC(NC)=O)=O)CC3=CC=CC(=C3)C(=N)N)(=O)=O)C4=CC=C(C=C4Cl)Cl,-10.3,-11.0,-11.1,-10.9,-5.4,-8.4,-9.4,-10.3,-9.4
170,224527,MAXMXWYWRMDJPJ-LNNLXFCONA-N,S(=O)(=O)(NCC(=O)N(CC1=CC=C(F)C=C1)CC(=O)NCC=2OC=CC2)C3=CC=C(F)C=C3,-9.6,-9.7,-9.9,-9.7,-7.3,-9.2,-10.2,-9.1,-7.8
171,222965,WTBZNVRBNJWSPF-RAKULXDYNA-N,O[C@H]1C([C@@]2([C@](C3[C@](C4C(=CC3)C(C(O)C(=O)C4)(C)C)(C(=O)C2)C)(C1)C)C)C(O)(C)C(=O)/C=C/C(OC(=O)C)(C)C,-5.9,-8.3,-8.4,-9.2,-6.5,-9.7,-8.2,-8.9,-8.6
172,87758,CBNXOSCGWXMGTB-LNNLXFCONA-N,N1C(C2=CC=C(C=C2)OCC(NC=3C=CC(=CC3)C#N)=O)=CC4=C1C(N(C(N4C)=O)C)=O,-10.3,-10.8,-10.3,-10.0,-6.7,-8.7,-10.2,-10.7,-8.7
173,221024,OUIQZJNFFDEGOV-YAQRNVERNA-N,S(=O)(=O)(N1CCN(CC1)CC)C=2C=C3NC(=O)CSC3=CC2,-8.1,-7.9,-7.4,-7.9,-6.7,-7.9,-8.7,-7.3,-7.0
174,111313,KXWMICWZAOIFIN-MPIMZMORNA-N,O=C(C=1C=2C(N(CC3=CC=CC=C3)C1)=CC=CC2)CC(=O)C(O)=O,-9.1,-9.2,-9.7,-9.9,-7.6,-9.9,-10.9,-9.0,-8.0
175,90589,NEDAHCJZNMEXLO-LBOYIXSDNA-N,FC1=CC=C(C2=CC=C(COC3=CC(NC(=O)C4CCNCC4)=CC=C3)C=C2)C=C1,-9.8,-11.1,-11.2,-10.3,-7.2,-9.6,-10.8,-11.7,-9.3
176,1834,RIDCOBPCGROHQY-MMRXBHCZNA-N,ClC1=CC=2NC(=O)NC=3N=C(OCC(O)C(O)COC2C=C1)C(=NC3)C#N,-5.6,-6.9,-7.9,-6.5,-5.8,-6.7,-7.0,-7.1,-6.9
177,173830,DEJMHAHDWHOGDE-LILDFLRNNA-N,S1C(C(=O)N2C(CCC2)C(=O)NC=3C=C(C(=CC3)C)C)=CC=C1,-9.2,-9.1,-8.6,-8.8,-6.4,-7.4,-10.5,-9.7,-8.2
178,144860,CVYNLEQGLILCTR-LQFNOIFHNA-N,O1N=C(N=C1N2CC(CCC2)C(=O)NC3=CC=C(C=C3)C(=O)C)C=4C=CC(OC)=CC4,-8.7,-10.8,-10.2,-9.6,-6.6,-8.7,-9.1,-11.3,-8.6
179,25397,PQJGFQLYZZBNPN-HXTKINSTNA-N,FC1=CC=2/C(=C\3/C=4NC(=C(C4CCC3)C(=O)NCCN5CCCC5)C)/C(=O)NC2C=C1,-11.3,-9.2,-11.7,-10.6,-8.8,-8.7,-10.2,-10.3,-9.5
180,150806,PBECFVBUAUMOMU-QWOVJGMINA-N,S(C=1C2=C(NC1C(=O)NCCCOCC)C=C(OC)C=C2)C3=CC=CC=C3,-8.3,-8.2,-8.1,-8.5,-6.1,-9.5,-9.8,-7.3,-7.9
181,241233,VCYUVYALHXZCSQ-ONDATJABNA-N,S(CCC=1N=C(O)N(C1O)CC(=O)NC=2C=CC(OCC)=CC2)C,-8.0,-7.7,-7.8,-7.5,-6.0,-7.2,-8.0,-7.5,-6.6
182,17546,JSVQQJGSUDYBKB-UHFFFAOYNA-N,O(C1=C(C=2C=C3C(N4CCN(CC4)C)=NC=NC3=CC2)C=CC=C1)C,-8.6,-8.6,-8.5,-9.9,-6.8,-7.8,-12.4,-9.2,-8.7
183,197300,WQCIBVHCNRYPDL-YHMJCDSINA-N,O=C(NC1=CC2=C(N=C1)C=CC=C2)N(C)C,-7.3,-7.9,-7.9,-7.9,-7.4,-8.5,-9.4,-8.7,-7.1
184,75496,IFIFFBWHLKGTMO-SJIDJMGWNA-N,[C@H]12[C@@H](C=C[C@@H]([C@@H]1CC[C@H]3OC(=O)C[C@@H](C3)O)C)C[C@@H](C[C@@H]2OC(=O)[C@H](CC)C)C,-8.9,-9.0,-9.3,-9.2,-6.1,-7.7,-9.2,-9.3,-8.3
185,139949,JNKBLQVGRJHQJW-MPIMZMORNA-N,S1C(C(=O)N2CC(CCC2)CCC(=O)NCC3=CC(F)=C(F)C=C3)=CN=C1,-9.5,-10.1,-9.4,-9.2,-8.0,-9.5,-10.9,-9.5,-7.7
186,32523,FFDMGLZTAIFMHH-LNNLXFCONA-N,C1(=NC=CO1)CC2=CC=C(C=C2)C3=C(SC(CC(C)C)=C3)S(NC(OCCCC)=O)(=O)=O,-8.8,-9.0,-8.8,-8.0,-5.5,-7.8,-9.1,-8.6,-7.3
187,166233,NJWTYHMBSYUXHF-BDJVNHBBNA-N,S1C([C@@H]2NC(=O)N(C(=C2C(=O)C)C)CC(OCC)=O)=CC=C1,-7.2,-7.4,-6.5,-7.2,-7.2,-7.3,-7.7,-7.0,-6.8
188,11952,YVIKNSIYGUSCAV-UHFFFAOYNA-N,S(C=1N(C(O)=C(C(C2=C(O)N(C(SCCC)=NC2=O)C)C3=CC(O)=C(OC)C=C3)C(=O)N1)C)CCC,-5.2,-7.9,-7.8,-6.2,-5.3,-7.0,-6.7,-7.3,-6.5
189,247499,OUVHBZRDNAFMKI-UHFFFAOYNA-N,FC=1C(N2CCN(CC2)C(=O)COC=3C=4C(N(C(=O)C3)C)=CC=CC4)=CC=CC1,-8.8,-11.1,-11.0,-10.4,-7.1,-8.2,-10.1,-9.9,-8.6
190,151621,IDBMAFISEHGKRZ-LILDFLRNNA-N,S(=O)(=O)(NCCC(=O)NC1=C(OC)C=CC(OC)=C1)C=2C3=NSN=C3C=CC2,-8.6,-9.5,-9.2,-8.5,-7.1,-7.8,-9.5,-8.5,-7.4
191,157139,OPUJUXSZNVCDHY-CTYIDBEKNA-N,ClC=1C=C(C2N3[C@@H](CC4=C2NC=5C4=CC=CC5)C(=O)N(C3=O)C6=C(C(=O)N7[C@H](CCC7)C(O)=O)C=CC=C6)C=CC1,-6.1,-9.1,-10.1,-7.9,-6.8,-8.3,-8.5,-10.3,-10.5
192,10900,JHHLFXZBAWBUTK-STKRRYODNA-N,O1[N+](O)=C(C(=N1)C)COC2=C(/C=N/N3N=NN=C3N)C=CC=C2,-8.7,-8.5,-9.2,-9.1,-6.8,-9.3,-10.2,-7.6,-7.2
193,85244,DCGAZOUEADJQLU-HFFMNELANA-N,C=1C(=CC=C(C1)N2C=CC=N2)[C@H](NC([C@H](O)C(C(O)N3[C@H](CCC3)C=4N=C(SC4C5=CC=C(C=C5)F)NC)=O)=O)C,-8.3,-10.2,-11.0,-9.1,-5.9,-9.9,-11.0,-9.5,-8.6
194,159170,AXPXNWGPVAYFGL-UHFFFAOYNA-N,S(=O)(=O)(N1CCCCCC1)C2=CC=C(C=C2)CCC(=O)N(CC3=CC=C(OCC)C=C3)C,-9.2,-10.6,-9.9,-9.1,-5.1,-6.3,-10.8,-10.6,-8.1
195,250365,ZIRIBQPBSMRXKE-UHFFFAOYNA-N,ClC=1C(NNC=2C(O)=CC=CC2O)=C(Cl)C=C(Cl)C1,-7.7,-8.2,-8.0,-7.9,-7.7,-8.2,-8.8,-7.2,-7.4
196,139858,JVYDCZWAVQJGIE-UYBDAZJANA-N,S(=O)(=O)(NCCC(OCC(=O)NC(=O)C=1N(C=CC1)C)=O)C2=CC=C(C=C2)C,-8.4,-9.2,-9.0,-8.0,-7.1,-8.6,-9.8,-9.0,-7.0
197,213120,ZNOWZFSVEUEVJV-UHFFFAOYNA-N,ClC=1C=CC(C2=NC=3C(N(C4CC4)C2=O)=NC(N5CCOCC5)=NC3)=CC1,-9.0,-9.3,-9.0,-10.4,-6.8,-7.5,-8.6,-9.4,-8.8
198,8399,PTHCHNRYBATMST-GPQMBLKYNA-N,S1C(NC=2C=CC(OC)=CC2)=NC(C3=CC=C(OC)C=C3)=C1,-8.3,-8.9,-9.4,-8.0,-6.2,-6.7,-7.8,-8.8,-7.7
199,117834,ULRUVDSCAVVGFC-MPIMZMORNA-N,ClC1=C(N(N=C1N(=O)=O)CCCC(=O)NC2=CC(OC3=CC=C(C=C3)C)=CC(N(=O)=O)=C2)C,-10.0,-11.1,-10.8,-9.5,-8.5,-9.2,-12.1,-9.9,-8.4
200,120102,OYSSUGGODSZFPB-PKSOQXRJNA-N,O=C(NCC1=C(OC)C(OC)=CC=C1)CN2CCCC=3C2=CC=CC3,-9.3,-9.4,-9.2,-8.6,-7.6,-8.6,-9.1,-8.6,-7.6
201,183085,AYRRDOMVXZADPZ-DVIAZDKANA-N,S(=O)(=O)(NC1=NC=CC=C1)C=2C=CC(NC(=O)COC3=C(C=C(C=C3)C)C)=CC2,-9.5,-10.3,-10.5,-9.8,-8.4,-8.6,-11.3,-10.6,-8.3
202,235611,GQWJOSDJOBQZGY-UYBDAZJANA-N,ClC=1C=CC(C(=O)NCCCC(=O)N2CC(CC(C2)C)C)=CC1,-8.9,-9.3,-9.4,-8.7,-7.3,-9.4,-9.3,-9.2,-7.9
203,55446,YPDVQKMOQZIJMI-RBMSPORENA-N,S1/C(/N(C(=O)CC1C(=O)NC=2C(OC)=CC=CC2)C)=N/C3=C(OC)C=CC=C3,-9.4,-10.2,-9.6,-9.2,-6.2,-7.6,-8.0,-8.4,-8.5
204,166203,APTALLRFQBHSED-HXTKINSTNA-N,S1C(C=2N(C(C(=O)NC(C)(C)C)C3=CC=CC=C3)C=4C(N2)=CC=CC4)=CC(=C1)C,-7.1,-8.8,-8.9,-6.5,-6.0,-6.6,-9.9,-7.4,-7.4
