target,dockstring_version,source_wheel_url,source_wheel_sha256,source_license,source_member,source_pdbqt_sha256,sequence_length,sequence_sha256,modified_residue_count,modified_residue_names,unknown_backbone_residue_count,unknown_backbone_residue_names,excluded_nonprotein_atom_residue_count,excluded_nonprotein_atom_residue_names
EGFR,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/EGFR_target.pdbqt,be850f92b01f264a648a8fb31b101953ef49b95f0a7e5cd16fd4a13c68366ec3,251,3eda461865abf730e852b5a42aecde18b7ee546cc74eaf09f73fc2aa0e58c878,1,MEU,0,,0,
F10,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/F10_target.pdbqt,b5affe9c60a0100abf5e91026e9f39105eb97aa90a2d4cbd33a75672d9dd84b0,231,d97ad1bd8cb31f4604e92b4b700389cf6fbf2c5ff8903cb4a14a5c427ceb4f9c,0,,0,,0,
GBA,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/GBA_target.pdbqt,a1a650dde730f9d6996e94d2f232e0342ef7a504c31662230d2da1f9cc873979,474,26bb5479004797f6d256a80a19f3425d0db03b7f6d02254b736eb2e361528bcb,0,,0,,0,
MAPK1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/MAPK1_target.pdbqt,281e0d89e8d4fa170a8606372091b6d352c7a9fb72dd6f07334b1b5d54ff4fff,262,6b83521d2f08e1382d91f09df9b294aab0f6d233df9560f8a622ed0a1697aec9,0,,0,,0,
MAPK14,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/MAPK14_target.pdbqt,e11275b647ac846e7e63af2e8d8d7482ef9da7f768b8223a2d49c8168ceca66c,266,e177660ad71c9209a125612f91cd58397513ce8953bdbbdf0403561ca4b6d7fd,0,,0,,0,
PLK1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/PLK1_target.pdbqt,ae55f32fb7a7f1e7a2911d6611882de030176fd2d4787bfb776c786ed74f73f3,241,726e502aec65684ed842761671c743a25fff484d91aaae6ba77806f70e00daa3,10,CYM;HID;HIE;HIP;HIZ,0,,1,ZN
SRC,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/SRC_target.pdbqt,5fc235fc051e6da3d6fdfe8cbb95988438c486e44abca43deb517490f47bdb75,233,98addc3bd119e81e49ba52a75b283440087397449147d15b3a8860a1c18ea46a,3,HIE;MEU,0,,0,
THRB,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/THRB_target.pdbqt,40cbd2bc43d12e09219dada461b79ba790d28dcb01a6e4870ea54fe03f602f4d,220,272a35ea96fbceac414f17eb0163b6a0ec4d18822c7d0f11294bd556ee68d363,0,,0,,0,
F2,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/F2_target.pdbqt,9f91e7972de34efda0194013437dc6230ed054c99911a83876e847bf985d7b63,261,effdacd5fee0578b2b87bb92d0a8a1e9f3a2510ae50c981c70d0db1818f61559,9,CYX;TYS,0,,0,
KDR,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/KDR_target.pdbqt,0efb7d7b2fe9c96ca682cb7f24d7132d59fb036529cacb21af295bdddcc54e41,298,97bdea8dd5f684a7beb59e43db63e1b4d4b6f9a1da7a7a1f9f707adeccf61327,0,,0,,0,
