transformation,objective,evaluation_map,selection_source,target_index,target
column_rank_then_row_centered_evaluation,signed_1_minus_r,PKIS2_experiment,Vina_selected,1,AKT1
column_rank_then_row_centered_evaluation,signed_1_minus_r,PKIS2_experiment,Vina_selected,4,CSF1R
column_rank_then_row_centered_evaluation,signed_1_minus_r,PKIS2_experiment,Vina_selected,5,EGFR
column_rank_then_row_centered_evaluation,signed_1_minus_r,PKIS2_experiment,Vina_selected,8,JAK2
column_rank_then_row_centered_evaluation,signed_1_minus_r,PKIS2_experiment,Vina_selected,9,KDR
column_rank_then_row_centered_evaluation,signed_1_minus_r,PKIS2_experiment,Vina_selected,11,LCK
column_rank_then_row_centered_evaluation,signed_1_minus_r,PKIS2_experiment,Vina_selected,15,MAPKAPK2
column_rank_then_row_centered_evaluation,signed_1_minus_r,PKIS2_experiment,Vina_selected,18,PTK2
column_rank_then_row_centered_evaluation,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,6,FGFR1
column_rank_then_row_centered_evaluation,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,8,JAK2
column_rank_then_row_centered_evaluation,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,10,KIT
column_rank_then_row_centered_evaluation,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,11,LCK
column_rank_then_row_centered_evaluation,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,12,MAP2K1
column_rank_then_row_centered_evaluation,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,14,MAPK14
column_rank_then_row_centered_evaluation,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,15,MAPKAPK2
column_rank_then_row_centered_evaluation,signed_1_minus_r,PKIS2_experiment,in_sample_experimental_oracle,18,PTK2
