standard_inchikey,connectivity_block,pkis2_rows,pkis2_excel_rows,pkis2_regno,pkis2_compound,pkis2_smiles,maximum_target_experimental_range_across_duplicate_rows,dockstring_rows,dockstring_row_indices,dockstring_reported_inchikeys,maximum_target_score_range_across_duplicate_rows
OMZCMEYTWSXEPZ-UHFFFAOYSA-N,OMZCMEYTWSXEPZ,1,161,GW781483,UNC10126563B,Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl,0.0,1,745,OMZCMEYTWSXEPZ-CYSPOYASNA-N,0.0
OSVNSMJGPXYEBY-UHFFFAOYSA-N,OSVNSMJGPXYEBY,1,635,GW823670,UNC10225502A,Clc1cccc(Cl)c1C(=O)c1c[nH]c(c1)C(=O)NCc1cccs1,0.0,1,96789,OSVNSMJGPXYEBY-PKSOQXRJNA-N,0.0
OVNJVYZXVSMONK-CQSZACIVSA-N,OVNJVYZXVSMONK,1,560,GSK580432,UNC10225416A,C[C@@H](Oc1cc(sc1C(N)=O)-n1cnc2cc(ccc12)-c1cnn(C)c1)c1ccccc1Cl,0.0,1,24601,OVNJVYZXVSMONK-KQCWLZACNA-N,0.0
PDMUGYOXRHVNMO-UHFFFAOYSA-N,PDMUGYOXRHVNMO,1,45,0,PFE-PKIS 4,OCCN(N=C1)C=C1C2=CN=C(N=NN3CC4=CC=C(N=CC=C5)C5=C4)C3=N2,0.0,1,12462,PDMUGYOXRHVNMO-UHFFFAOYNA-N,0.0
PTFWTMLTKFRZKM-UHFFFAOYSA-N,PTFWTMLTKFRZKM,1,295,GSK1024304,UNC10225127A,COc1ccc(COc2cc(sc2C(N)=O)-n2cnc3ccccc23)cc1,0.0,1,46906,PTFWTMLTKFRZKM-QVUQFMIFNA-N,0.0
PXRULJZQXIUNTM-UHFFFAOYSA-N,PXRULJZQXIUNTM,1,104,0,TPKI-49,CN1C2=C(C=C(C=C2)C2=CC=C(C=C2)C(N)=O)C2=C(C=NN2)S1(=O)=O,0.0,1,41853,PXRULJZQXIUNTM-VFSNKAIFNA-N,0.0
QBUKWINFURUTNN-UHFFFAOYSA-N,QBUKWINFURUTNN,1,422,GSK1024306,UNC10225260A,NC(=O)c1sc(cc1OCc1ccccc1F)-n1cnc2ccccc12,0.0,1,44265,QBUKWINFURUTNN-QVUQFMIFNA-N,0.0
QEIJYXMTALGXJH-GDLZYMKVSA-N,QEIJYXMTALGXJH,1,80,0,TPKI-25,CC[C@@]1(F)CN(C2CCCC2)c3nc(Nc4ccc(cc4OC)C(=O)NC5CCN(C)CC5)ncc3N(C)C1=O,0.0,1,45377,QEIJYXMTALGXJH-MFDBCKTGNA-N,0.0
QEIJYXMTALGXJH-LJAQVGFWSA-N,QEIJYXMTALGXJH,1,81,0,TPKI-26,CC[C@]1(F)CN(C2CCCC2)c3nc(Nc4ccc(cc4OC)C(=O)NC5CCN(C)CC5)ncc3N(C)C1=O,0.0,1,45374,QEIJYXMTALGXJH-GOTPOTBHNA-N,0.0
QLCDVXBLLOIZEO-UTKZUKDTSA-N,QLCDVXBLLOIZEO,1,484,GSK2376236,UNC10225331A,CC[C@@H]1CO[C@@H](CN1c1cc(nc(NC)n1)-c1ccc2c(N)n[nH]c2c1)C(=O)Nc1ccccc1,0.0,1,41164,QLCDVXBLLOIZEO-PZEASNCBNA-N,0.0
QUKIIQWKXMTFAE-UHFFFAOYSA-N,QUKIIQWKXMTFAE,1,69,0,TPKI-106,CCC1=NC(=C(S1)C1=CC=NC=C1)C1=CC(C)=CC=C1,0.0,1,45551,QUKIIQWKXMTFAE-UHFFFAOYNA-N,0.0
QVWIVWPIJUYRRF-UHFFFAOYSA-N,QVWIVWPIJUYRRF,1,551,GSK1034945,UNC10225405A,Nc1n[nH]c2cc(ccc12)-c1ccnc(N)n1,0.0,1,24283,QVWIVWPIJUYRRF-LUZCOMEKNA-N,0.0
RGYLSTMWQZFYAE-UHFFFAOYSA-N,RGYLSTMWQZFYAE,1,625,GW813349,UNC10225491A,Cc1ccccc1COc1cc(sc1C(N)=O)-n1cnc2cc(Cl)ccc12,0.0,1,46697,RGYLSTMWQZFYAE-MRSUPTMINA-N,0.0
RITAVMQDGBJQJZ-FMIVXFBMSA-N,RITAVMQDGBJQJZ,1,55,0,PFE-PKIS 6,O=C(NC)C1=CC=CC=C1SC2=CC(NN=C3/C=C/C4=CC=CC=N4)=C3C=C2,0.0,2,7323;14364,RITAVMQDGBJQJZ-OTERJNTRNA-N;RITAVMQDGBJQJZ-OHWFFDRONA-N,0.5999999999999996
RLXHHNOPSKGTDC-UHFFFAOYSA-N,RLXHHNOPSKGTDC,1,105,0,TPKI-50,CN1C2=C(C=C(C=C2)C2=CC=C(C=C2)C(=O)NCCO)C2=C(C=NN2)S1(=O)=O,0.0,1,42106,RLXHHNOPSKGTDC-MMRXBHCZNA-N,0.0
RNXPIGAWEIQILT-UHFFFAOYSA-N,RNXPIGAWEIQILT,1,522,GSK204607,UNC10225372A,COc1cc2ncn(-c3cc(OCC4CCCO4)c(s3)C(N)=O)c2cc1OC,0.0,1,39156,RNXPIGAWEIQILT-HPHMPNDVNA-N,0.0
ROZXJVHSZADRDQ-UHFFFAOYSA-N,ROZXJVHSZADRDQ,1,129,0,TPKI-74,CN1C=CC2=C1C(OC1=CC=C(NC(=O)NC3=CC=NC=C3)C(Cl)=C1)=NC=N2,0.0,1,40990,ROZXJVHSZADRDQ-XBXBPLPCNA-N,0.0
RPSIDICSSBFGPU-UHFFFAOYSA-N,RPSIDICSSBFGPU,1,421,SB-708998,UNC10225259A,Brc1cc2c(NC(=O)C3CC3)n[nH]c2nc1-c1ccccc1,0.0,1,25831,RPSIDICSSBFGPU-NPVYFSBINA-N,0.0
RTDGHNXXZKSIDE-OAHLLOKOSA-N,RTDGHNXXZKSIDE,1,424,GSK479719,UNC10225262A,C[C@@H](Oc1cc(sc1C(N)=O)-n1cnc2cc(ccc12)-c1ccncc1)c1ccccc1Cl,0.0,1,22896,RTDGHNXXZKSIDE-QZPUJVPKNA-N,0.0
SAYGKHKXGCPTLX-UHFFFAOYSA-N,SAYGKHKXGCPTLX,1,286,GW789449,UNC10225118A,NC(=O)Nc1sc(cc1C(N)=O)-c1ccc(F)cc1,0.0,1,234,SAYGKHKXGCPTLX-CTZFTVOTNA-N,0.0
SIXVRXARNAVBTC-UHFFFAOYSA-N,SIXVRXARNAVBTC,1,332,GSK2606414,UNC10225165A,Cn1cc(-c2ccc3N(CCc3c2)C(=O)Cc2cccc(c2)C(F)(F)F)c2c(N)ncnc12,0.0,1,20739,SIXVRXARNAVBTC-DFLUKEIKNA-N,0.0
SJMSBWUNRHAZIS-UHFFFAOYSA-N,SJMSBWUNRHAZIS,1,128,0,TPKI-73,CN1C=CC2=C1C(OC1=CC=C(NC(=O)NC3=CC=CN=C3)C(Cl)=C1)=NC=N2,0.0,1,41578,SJMSBWUNRHAZIS-XBXBPLPCNA-N,0.0
SLIYJTVHXLYNJL-UHFFFAOYSA-N,SLIYJTVHXLYNJL,1,574,SB-589132,UNC10225431A,COc1ccc(cc1)-c1oc2ncnc(N)c2c1-c1ccc(OC)cc1,0.0,1,41319,SLIYJTVHXLYNJL-QVUQFMIFNA-N,0.0
SPESUKLLJMFRNX-UHFFFAOYSA-N,SPESUKLLJMFRNX,1,125,0,TPKI-70,CN1C=CC2=C1C(OC1=CC(=CC=C1)C(=O)NC1=CC=CC=C1)=NC=N2,0.0,1,61208,SPESUKLLJMFRNX-MPIMZMORNA-N,0.0
SUDAHWBOROXANE-SECBINFHSA-N,SUDAHWBOROXANE,1,25,0,PFE-PKIS 21,FC1=C(F)C=CC(C(NOC[C@H](O)CO)=O)=C1NC2=CC=C(I)C=C2F,0.0,1,16822,SUDAHWBOROXANE-KCUWNNAWNA-N,0.0
TWOLOZGQZKJZKJ-UHFFFAOYSA-N,TWOLOZGQZKJZKJ,1,98,0,TPKI-43,CN1C=CC2=C1C(OC1=CC=C(NC(=O)NC3=CC=CC(=C3)C(F)(F)F)C(F)=C1)=NC=N2,0.0,1,24193,TWOLOZGQZKJZKJ-LKHHGCNMNA-N,0.0
TXXYVBLFLGPQOR-GDBMZVCRSA-N,TXXYVBLFLGPQOR,1,639,GSK2286062,UNC10243859A,C[C@@H]1CC[C@H](CN1c1cc(nc(N)n1)-c1ccc2c(N)n[nH]c2c1)C(=O)Nc1ccccc1,0.0,1,62663,TXXYVBLFLGPQOR-NSCVCTMVNA-N,0.0
TXXYVBLFLGPQOR-GOEBONIOSA-N,TXXYVBLFLGPQOR,1,311,GSK2283293,UNC10225143A,C[C@H]1CC[C@H](CN1c1cc(nc(N)n1)-c1ccc2c(N)n[nH]c2c1)C(=O)Nc1ccccc1,0.0,1,62685,TXXYVBLFLGPQOR-BILPOWHENA-N,0.0
UHBZCEYZFPBQEU-UHFFFAOYSA-N,UHBZCEYZFPBQEU,1,611,GW595885,UNC10225475A,COc1ccc(NC(=O)c2ccc(cc2)-c2cc(ccc2C)-c2nnc(C)o2)cc1,0.0,1,58881,UHBZCEYZFPBQEU-LNNLXFCONA-N,0.0
UJLAWZDWDVHWOW-YPMHNXCESA-N,UJLAWZDWDVHWOW,1,29,0,PFE-PKIS 25,CN([C@H]1CN(C(CC#N)=O)CC[C@H]1C)C2=C3C(NC=C3)=NC=N2,0.0,1,21187,UJLAWZDWDVHWOW-MUIYPFLHNA-N,0.0
UJPJYIXFJSSTRL-UHFFFAOYSA-N,UJPJYIXFJSSTRL,1,378,SB-282852,UNC10225213A,COc1nccc(n1)-c1c(ncn1CCCN1CCOCC1)-c1ccc(F)cc1,0.0,1,57943,UJPJYIXFJSSTRL-UHFFFAOYNA-N,0.0
VBJULRMRDQBSIN-UHFFFAOYSA-N,VBJULRMRDQBSIN,1,205,GSK2250882,UNC10225030A,CC(C)c1cc(nc(N)n1)-c1ccc2c(N)n[nH]c2c1,0.0,1,66317,VBJULRMRDQBSIN-RFKCYESCNA-N,0.0
VBVQRWCLJVUBMP-UHFFFAOYSA-N,VBVQRWCLJVUBMP,1,326,GSK2276055,UNC10225158A,O=c1[nH]cc(-c2ccc(cc2)N2CCOCC2)c2sc(cc12)-c1cn[nH]c1,0.0,1,66136,VBVQRWCLJVUBMP-XBTAAFKLNA-N,0.0
VFCFJSWYTMMESK-UHFFFAOYSA-N,VFCFJSWYTMMESK,1,284,GW475620,UNC10225116A,Fc1ccc(cc1)-c1nn2cccc(F)c2c1-c1ccncc1,0.0,1,66530,VFCFJSWYTMMESK-UHFFFAOYNA-N,0.0
VNDDOAWIHYNTOI-UHFFFAOYSA-N,VNDDOAWIHYNTOI,1,520,GSK683281,UNC10225369A,Nc1ncc(-c2cccnc2)c2scc(-c3ccc4N(CCc4c3)C(=O)Cc3ccccc3)c12,0.0,1,67364,VNDDOAWIHYNTOI-XIPNIRHDNA-N,0.0
VQYHPUHKYSSEOB-ZDUSSCGKSA-N,VQYHPUHKYSSEOB,1,44,0,PFE-PKIS 39,CN(N=C1)C=C1C(C=C2)=NN3C2=NN=C3[C@@H](C)C4=CC=C(N=CC=C5)C5=C4,0.0,1,66912,VQYHPUHKYSSEOB-ZDUSSCGKNA-N,0.0
VRFCECOEWLDCBE-UHFFFAOYSA-N,VRFCECOEWLDCBE,1,131,0,TPKI-76,CN1C=CC2=C1C(OC1=CC=C(NC(=O)NC3=NOC(=C3)C(C)(C)C)C(Cl)=C1)=NC=N2,0.0,1,38428,VRFCECOEWLDCBE-SPEPDGBUNA-N,0.0
VYPFXAQENHJVIR-UHFFFAOYSA-N,VYPFXAQENHJVIR,1,443,GW702865,UNC10225285A,Cc1nnc(o1)-c1ccc(C)c(c1)-c1ccc(cc1)C(=O)Nc1ccc(NS(C)(=O)=O)cc1,0.0,1,63620,VYPFXAQENHJVIR-LNNLXFCONA-N,0.0
WHARNYOKNQYQGR-UHFFFAOYSA-N,WHARNYOKNQYQGR,1,527,SB-245391,UNC10225377A,Fc1ccc(cc1)-c1ncn(C2CCNCC2)c1-c1ccnc(Oc2ccc(cc2)-c2ccccc2)n1,0.0,1,65004,WHARNYOKNQYQGR-UHFFFAOYNA-N,0.0
WLALQQYUBWGRLL-UHFFFAOYSA-N,WLALQQYUBWGRLL,1,629,GSK204559,UNC10225496A,COc1cc2ncn(-c3cc(OCC4CCCCC4)c(s3)C(N)=O)c2cc1OC,0.0,1,65172,WLALQQYUBWGRLL-MRSUPTMINA-N,0.0
WNZMTWAJENZPDM-UHFFFAOYSA-N,WNZMTWAJENZPDM,1,300,SB-219952,UNC10225132A,CCOC(=O)N1CCC(CC1)n1cnc(c1-c1ccnc(N)n1)-c1ccc(F)cc1,0.0,1,64165,WNZMTWAJENZPDM-TWSYTRIPNA-N,0.0
WOZKSDHVBUBBLG-UHFFFAOYSA-N,WOZKSDHVBUBBLG,1,72,0,TPKI-109,CC1=CC=CC(=C1)C1=C(SC(=N1)C1=CC=C(C=C1)S(C)(=O)=O)C1=CC=NC=C1,0.0,1,64712,WOZKSDHVBUBBLG-UHFFFAOYNA-N,0.0
WQQPBXGJFFKXKX-UHFFFAOYSA-N,WQQPBXGJFFKXKX,1,86,0,TPKI-31,CN1CCC(CC1)NC(=O)c2ccc(Nc3ncc4N(C)C(=O)C(F)(F)CN(C5CCCC5)c4n3)cc2C,0.0,1,64488,WQQPBXGJFFKXKX-WUSLAWIHNA-N,0.0
WXOGYBWIHWKUMA-UHFFFAOYSA-N,WXOGYBWIHWKUMA,1,92,0,TPKI-37,CC1=CC=C(C(=O)NC2=CC=C(OC3=CN4C=C(NC(=O)C5CC5)N=C4C=C3)C(F)=C2)C(=O)N1C1=CC=CC=C1,0.0,1,33463,WXOGYBWIHWKUMA-RPGFEBOUNA-N,0.0
WYSOLHCQRQBXQP-UHFFFAOYSA-N,WYSOLHCQRQBXQP,1,83,0,TPKI-28,COc1cc(cc(F)c1Nc2ncc3N(C)C(=O)C(F)(F)CN(C4CCCC4)c3n2)C(=O)NC5CCN(C)CC5,0.0,1,50290,WYSOLHCQRQBXQP-MJHPXVFFNA-N,0.0
XCAXPNXUNVKBEX-UHFFFAOYSA-N,XCAXPNXUNVKBEX,1,76,0,TPKI-113,CC(=O)NC1=NC2=CN=C(NC3=C(C)C=CC(NC(=O)C4=CC=CC(=C4Cl)C4(CC4)C#N)=C3)N=C2S1,0.0,1,50343,XCAXPNXUNVKBEX-DXBWVGEPNA-N,0.0
XDLYKKIQACFMJG-WKILWMFISA-N,XDLYKKIQACFMJG,1,33,0,PFE-PKIS 29,COC(N=C1)=CC=C1C2=CC3=C(C)N=C(N)N=C3N([C@H]4CC[C@H](OCCO)CC4)C2=O,0.0,1,52235,XDLYKKIQACFMJG-CNAPXTOYNA-N,0.0
XGMKXFYSDRBOQV-UHFFFAOYSA-N,XGMKXFYSDRBOQV,1,231,SB-219980,UNC10225058A,Nc1nccc(n1)-c1c(ncn1C1CCN(Cc2ccccc2)CC1)-c1ccc(F)cc1,0.0,1,52571,XGMKXFYSDRBOQV-XRJCTRHONA-N,0.0
XNOBOZRCPWKBSS-UHFFFAOYSA-N,XNOBOZRCPWKBSS,1,238,GSK336313,UNC10225069A,COc1cc2ncn(-c3cc(OCc4ccncc4)c(s3)C(N)=O)c2cc1OC,0.0,1,48325,XNOBOZRCPWKBSS-QVUQFMIFNA-N,0.0
XWODEDHTMYVLNJ-SNVBAGLBSA-N,XWODEDHTMYVLNJ,1,252,GSK2258759,UNC10225083A,C[C@@H]1CCCCN1c1cc(nc(N)n1)-c1ccc2c(N)n[nH]c2c1,0.0,1,48021,XWODEDHTMYVLNJ-OQNNAEMRNA-N,0.0
XYASHXPUZJDWIO-UHFFFAOYSA-N,XYASHXPUZJDWIO,1,15,0,PFE-PKIS 12,O=C(NCCCN1CCOC1=O)C2=CN=C(NCC3=C(Cl)C=CC(Cl)=C3)N=C2NC4CCCC4,0.0,1,18684,XYASHXPUZJDWIO-OWVQZIOCNA-N,0.0
XYKNCRFMAKMJKI-UHFFFAOYSA-N,XYKNCRFMAKMJKI,1,473,GW689066,UNC10225319A,Fc1cccc(COc2ccc(Nc3ncnc4nn5ccccc5c34)cc2Cl)c1,0.0,1,49562,XYKNCRFMAKMJKI-LELJVTLKNA-N,0.0
YDRWIFAFQIMEOP-UHFFFAOYSA-N,YDRWIFAFQIMEOP,1,452,GSK364507,UNC10225294A,COc1ccccc1CNC(=O)c1cc(c[nH]1)C(=O)c1ccccc1C,0.0,1,48912,YDRWIFAFQIMEOP-MPIMZMORNA-N,0.0
YJFKREHADGLMHG-UHFFFAOYSA-N,YJFKREHADGLMHG,1,251,GW809893,UNC10225082A,CN(c1ccc(NC(=O)Nc2cc(ccc2F)C(F)(F)F)cc1)c1ccnc(Nc2ccc(cc2)S(N)(=O)=O)n1,0.0,1,56041,YJFKREHADGLMHG-YXSKMZNNNA-N,0.0
YOELZIQOLWZLQC-UHFFFAOYSA-N,YOELZIQOLWZLQC,1,330,GI98581,UNC10225163A,Fc1ccc(cc1)-c1nc2SCCn2c1-c1ccncc1,0.0,1,89,YOELZIQOLWZLQC-UHFFFAOYNA-N,0.0
YVFNRXBPVWUZRV-UHFFFAOYSA-N,YVFNRXBPVWUZRV,1,497,GSK2228768,UNC10225344A,Nc1n[nH]c2cc(ccc12)-c1cc(nc(N)n1)N1CCCCC1,0.0,1,57360,YVFNRXBPVWUZRV-QKBHMYJGNA-N,0.0
YVNIOYKTDJGJGM-UHFFFAOYSA-N,YVNIOYKTDJGJGM,1,271,GSK2227430,UNC10225103A,Nc1n[nH]c2cc(ccc12)-c1cc(nc(N)n1)N1CCCC1,0.0,1,57143,YVNIOYKTDJGJGM-RDPBVJMKNA-N,0.0
YXAQBFXRVSBMEL-UHFFFAOYSA-N,YXAQBFXRVSBMEL,1,127,0,TPKI-72,CN1C=CC2=C1C(OC1=CC=C(NC3=NC4=C(N3)C=CC=C4)C=C1)=NC=N2,0.0,1,57572,YXAQBFXRVSBMEL-DVIAZDKANA-N,0.0
YYZTVTZCYVZGRB-UHFFFAOYSA-N,YYZTVTZCYVZGRB,1,11,GW869979,UNC10225324A,COc1cc2ncn(-c3cc(OCc4ccc(cc4)S(C)(=O)=O)c(s3)C(N)=O)c2cc1OC,0.0,1,57544,YYZTVTZCYVZGRB-TWSYTRIPNA-N,0.0
ZNCKHZJGGNFHHC-UHFFFAOYSA-N,ZNCKHZJGGNFHHC,1,97,0,TPKI-42,FC(F)(F)C1=CC(NC(=O)C2=CC=CC(OC3=NN4C=CN=C4C=C3)=C2)=CC=C1,0.0,1,52708,ZNCKHZJGGNFHHC-LNNLXFCONA-N,0.0
ZOLVPLVVVCAWCK-UHFFFAOYSA-N,ZOLVPLVVVCAWCK,1,340,SB-236560,UNC10225173A,Nc1nccc(n1)-c1c(ncn1C1CCN(CC(F)(F)F)CC1)-c1ccc(F)cc1,0.0,1,53169,ZOLVPLVVVCAWCK-ZFJUVRDGNA-N,0.0
ZOTNSCLLJKXGSD-UHFFFAOYSA-N,ZOTNSCLLJKXGSD,1,156,GW779439,UNC10112721A,CN1CCN(CC1)c1ccc(Nc2nccc(n2)-c2cnn3ncccc23)cc1C(F)(F)F,0.0,1,13843,ZOTNSCLLJKXGSD-PKRZOPRNNA-N,0.0
ZRDJTQFOUXSKBC-UHFFFAOYSA-N,ZRDJTQFOUXSKBC,1,591,GSK205189,UNC10225450A,COc1cc2ncn(-c3cc(OCCCc4ccccc4)c(s3)C(N)=O)c2cc1OC,0.0,1,54574,ZRDJTQFOUXSKBC-PECIQRARNA-N,0.0
ZTWJDVNPCLUQPU-UHFFFAOYSA-N,ZTWJDVNPCLUQPU,1,321,GSK448459,UNC10225153A,COc1cc2ncn(-c3cc(OCc4sccc4Cl)c(s3)C(N)=O)c2cc1OC,0.0,1,54886,ZTWJDVNPCLUQPU-QVUQFMIFNA-N,0.0
ZZAALKZEEDABCI-UHFFFAOYSA-N,ZZAALKZEEDABCI,1,185,GW775604,UNC10225009A,CN1CCN(CC1)c1cc(ccn1)C(=O)Nc1ccc(C)c(c1)-c1ccc(cc1)C(=O)NCC1CC1,0.0,1,54209,ZZAALKZEEDABCI-WUSLAWIHNA-N,0.0
